population,l,w,h,w/l,h/l,w/h,bg,rpclass,rpcolor,periostracum
Budakskaya spit 2017,18.01,5.77,10.80,0.3204,0.5997,0.5343,white,A0,NA,absent
Budakskaya spit 2017,22.11,6.61,12.77,0.2990,0.5776,0.5176,white,A1,transparent,absent
Budakskaya spit 2017,19.36,6.09,12.02,0.3146,0.6209,0.5067,white,A1,grey,absent
Budakskaya spit 2017,19.76,6.46,12.04,0.3269,0.6093,0.5365,gray&purple,A1,black,absent
Budakskaya spit 2017,19.56,5.62,11.63,0.2873,0.5946,0.4832,white,A0,NA,partial
Budakskaya spit 2017,22.88,7.44,14.39,0.3252,0.6289,0.5170,gray,A0,NA,absent
Budakskaya spit 2017,19.83,6.40,12.07,0.3227,0.6087,0.5302,white,B0a,violet,absent
Budakskaya spit 2017,18.82,5.85,10.74,0.3108,0.5707,0.5447,gray&purple,A1,transparent,absent
Budakskaya spit 2017,13.20,3.97,7.76,0.3008,0.5879,0.5116,white,A1,purple,absent
Budakskaya spit 2017,15.93,5.11,9.19,0.3208,0.5769,0.5560,white,A0,NA,absent
Budakskaya spit 2017,21.00,6.90,13.05,0.3286,0.6214,0.5287,gray,A1,transparent,absent
Budakskaya spit 2017,20.99,7.01,13.68,0.3340,0.6517,0.5124,white,A0,NA,absent
Budakskaya spit 2017,23.93,7.83,13.90,0.3272,0.5809,0.5633,purple,A0,NA,absent
Budakskaya spit 2017,19.53,6.39,11.50,0.3272,0.5888,0.5557,white&purple,A1,black,full
Budakskaya spit 2017,22.75,8.35,14.75,0.3670,0.6484,0.5661,white,A0,NA,partial
Budakskaya spit 2017,25.11,9.10,15.64,0.3624,0.6229,0.5818,white,A1,purple,absent
Budakskaya spit 2017,23.59,8.83,15.48,0.3743,0.6562,0.5704,purple,A0,NA,absent
Budakskaya spit 2017,21.47,7.69,13.75,0.3582,0.6404,0.5593,purple,D1,violet,absent
Budakskaya spit 2017,16.69,5.11,9.95,0.3062,0.5962,0.5136,gray,A0,NA,full
Budakskaya spit 2017,20.77,6.50,12.35,0.3130,0.5946,0.5263,white,D0,white,partial
Budakskaya spit 2017,20.91,7.29,13.04,0.3486,0.6236,0.5590,white,A0,NA,absent
